sku,date,forecast,model,lower_bound,upper_bound
ELEC-LAPTOP-001,2024-01-01,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-02,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-03,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-04,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-05,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-06,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-07,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-08,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-09,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-10,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-11,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-12,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-13,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-14,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-15,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-16,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-17,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-18,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-19,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-20,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-21,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-22,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-23,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-24,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-25,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-26,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-27,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-28,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-29,109.0,naive,10.2128288111806,207.7871711888194
ELEC-LAPTOP-001,2024-01-30,109.0,naive,10.2128288111806,207.7871711888194
TOYS-OUTDOOR-001,2024-01-01,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-02,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-03,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-04,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-05,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-06,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-07,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-08,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-09,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-10,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-11,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-12,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-13,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-14,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-15,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-16,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-17,47.0,naive,0.0,168.2381807148605
TOYS-OUTDOOR-001,2024-01-18,47.0,naive,0.0,168.2381807148605
