sku,date,forecast,model,lower_bound,upper_bound
84-629-1532,2024-02-26,22.0,naive,17.688,26.312
84-629-1532,2024-02-27,22.0,naive,17.688,26.312
84-629-1532,2024-02-28,22.0,naive,17.688,26.312
84-629-1532,2024-02-29,22.0,naive,17.688,26.312
84-629-1532,2024-03-01,22.0,naive,17.688,26.312
84-629-1532,2024-03-02,22.0,naive,17.688,26.312
84-629-1532,2024-03-03,22.0,naive,17.688,26.312
84-629-1532,2024-03-04,22.0,naive,17.688,26.312
84-629-1532,2024-03-05,22.0,naive,17.688,26.312
84-629-1532,2024-03-06,22.0,naive,17.688,26.312
84-629-1532,2024-03-07,22.0,naive,17.688,26.312
84-629-1532,2024-03-08,22.0,naive,17.688,26.312
84-629-1532,2024-03-09,22.0,naive,17.688,26.312
84-629-1532,2024-03-10,22.0,naive,17.688,26.312
84-629-1532,2024-03-11,22.0,naive,17.688,26.312
84-629-1532,2024-03-12,22.0,naive,17.688,26.312
84-629-1532,2024-03-13,22.0,naive,17.688,26.312
84-629-1532,2024-03-14,22.0,naive,17.688,26.312
84-629-1532,2024-03-15,22.0,naive,17.688,26.312
84-629-1532,2024-03-16,22.0,naive,17.688,26.312
84-629-1532,2024-03-17,22.0,naive,17.688,26.312
84-629-1532,2024-03-18,22.0,naive,17.688,26.312
84-629-1532,2024-03-19,22.0,naive,17.688,26.312
84-629-1532,2024-03-20,22.0,naive,17.688,26.312
84-629-1532,2024-03-21,22.0,naive,17.688,26.312
84-629-1532,2024-03-22,22.0,naive,17.688,26.312
84-629-1532,2024-03-23,22.0,naive,17.688,26.312
84-629-1532,2024-03-24,22.0,naive,17.688,26.312
84-629-1532,2024-03-25,22.0,naive,17.688,26.312
84-629-1532,2024-03-26,22.0,naive,17.688,26.312
21-693-8216,2024-02-27,70.0,naive,56.28,83.72
21-693-8216,2024-02-28,70.0,naive,56.28,83.72
21-693-8216,2024-02-29,70.0,naive,56.28,83.72
21-693-8216,2024-03-01,70.0,naive,56.28,83.72
21-693-8216,2024-03-02,70.0,naive,56.28,83.72
21-693-8216,2024-03-03,70.0,naive,56.28,83.72
21-693-8216,2024-03-04,70.0,naive,56.28,83.72
